configuration,snr_db,metric,mean,std,ci_lower,ci_upper,min,max
semantic_processing_no_ris,-5,energy_per_bit,1.1e-07,0.0,,,1.1e-07,1.1e-07
semantic_processing_no_ris,0,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_no_ris,0,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_no_ris,0,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_no_ris,0,energy_per_bit,1.1e-07,0.0,,,1.1e-07,1.1e-07
semantic_processing_no_ris,5,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_no_ris,5,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_no_ris,5,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_no_ris,5,energy_per_bit,1.1e-07,0.0,,,1.1e-07,1.1e-07
semantic_processing_no_ris,10,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_no_ris,10,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_no_ris,10,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_no_ris,10,energy_per_bit,1.1e-07,0.0,,,1.1e-07,1.1e-07
semantic_processing_with_ris,-10,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_with_ris,-10,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_with_ris,-10,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_with_ris,-10,energy_per_bit,1.4200000000000003e-07,2.6496289152258446e-23,1.4200000000000003e-07,1.4200000000000003e-07,1.42e-07,1.42e-07
semantic_processing_with_ris,-5,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_with_ris,-5,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_with_ris,-5,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_with_ris,-5,energy_per_bit,1.4200000000000003e-07,2.6496289152258446e-23,1.4200000000000003e-07,1.4200000000000003e-07,1.42e-07,1.42e-07
semantic_processing_with_ris,0,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_with_ris,0,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_with_ris,0,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_with_ris,0,energy_per_bit,1.4200000000000003e-07,2.6496289152258446e-23,1.4200000000000003e-07,1.4200000000000003e-07,1.42e-07,1.42e-07
semantic_processing_with_ris,5,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_with_ris,5,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_with_ris,5,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_with_ris,5,energy_per_bit,1.4200000000000003e-07,2.6496289152258446e-23,1.4200000000000003e-07,1.4200000000000003e-07,1.42e-07,1.42e-07
semantic_processing_with_ris,10,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_with_ris,10,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_with_ris,10,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_with_ris,10,energy_per_bit,1.4200000000000003e-07,2.6496289152258446e-23,1.4200000000000003e-07,1.4200000000000003e-07,1.42e-07,1.42e-07
