Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Mixed_Channel,qpsk,-30.0,55.3,44.7,5.79906476039783,0.7379292547702789,0.4918162508939067,0.5
Mixed_Channel,qpsk,-29.9,53.6,46.400000000000006,6.656852608296409,0.5930232107639313,0.5276010203996703,0.198
Mixed_Channel,qpsk,-29.799999999999997,54.25,45.75,6.55074209749424,0.5408881641924381,0.4836844334220281,0.1
Mixed_Channel,qpsk,-29.699999999999996,54.87500000000001,45.125,5.768166287015945,0.5269822478294373,0.5059315683219364,0.1
Mixed_Channel,qpsk,-29.599999999999994,54.775,45.225,5.390316564924692,0.5981756746768951,0.46446276253855595,0.1
Mixed_Channel,qpsk,-29.499999999999993,53.400000000000006,46.6,6.229466584737827,0.6432327479124069,0.506846867270716,0.10500000000000001
Mixed_Channel,qpsk,-29.39999999999999,55.3,44.7,5.400124851661392,0.46353819593787193,0.5158751693744779,0.10500000000000001
Mixed_Channel,qpsk,-29.29999999999999,54.099999999999994,45.9,6.174659376444085,0.5316816978156567,0.4870214000755703,0.10500000000000001
Mixed_Channel,qpsk,-29.19999999999999,55.025,44.975,5.114684198943662,0.5245693773031235,0.5130564589607095,0.1
Mixed_Channel,qpsk,-29.099999999999987,54.425000000000004,45.574999999999996,5.043349595917547,0.5314532741904259,0.5007187674731761,0.10500000000000001
Mixed_Channel,qpsk,-28.999999999999986,54.949999999999996,45.050000000000004,5.157340302263421,0.626377210021019,0.42851563416473354,0.10500000000000001
Mixed_Channel,qpsk,-28.899999999999984,55.47500000000001,44.525,4.105286552219468,0.5529412589967251,0.5101247695288103,0.10500000000000001
Mixed_Channel,qpsk,-28.799999999999983,56.175,43.824999999999996,4.22843218040721,0.5815663933753967,0.49657820187178453,0.10500000000000001
Mixed_Channel,qpsk,-28.69999999999998,55.60000000000001,44.4,4.174648367243705,0.6195991933345795,0.46414419982568467,0.10500000000000001
Mixed_Channel,qpsk,-28.59999999999998,55.65,44.35,4.799452405519991,0.6367355585098267,0.46588701472607813,0.10500000000000001
Mixed_Channel,qpsk,-28.49999999999998,54.37499999999999,45.625,4.451746587643679,0.5457153841853142,0.48520939938999086,0.10500000000000001
Mixed_Channel,qpsk,-28.399999999999977,55.375,44.625,4.399461237302483,0.594097800552845,0.4633637649668235,0.1
Mixed_Channel,qpsk,-28.299999999999976,55.175,44.824999999999996,3.89013030272995,0.43164297193288803,0.46014707721523707,0.1
Mixed_Channel,qpsk,-28.199999999999974,56.675,43.325,3.7539071115460962,0.6208851188421249,0.42950924535186,0.10500000000000001
Mixed_Channel,qpsk,-28.099999999999973,54.0,46.0,4.396287254050926,0.5028195511549711,0.44124834794767537,0.10500000000000001
Mixed_Channel,qpsk,-27.99999999999997,54.574999999999996,45.425,3.6608556798986487,0.4799208212643862,0.5106758546399475,0.10500000000000001
Mixed_Channel,qpsk,-27.89999999999997,55.87500000000001,44.125,3.9182282927852348,0.6312847286462784,0.5360489775334142,0.10500000000000001
Mixed_Channel,qpsk,-27.79999999999997,55.35,44.65,3.4688368937725835,0.593812108039856,0.4458889607565358,0.1
Mixed_Channel,qpsk,-27.699999999999967,55.47500000000001,44.525,3.8510255886660656,0.5103238373994827,0.5010733627703355,0.10500000000000001
Mixed_Channel,qpsk,-27.599999999999966,55.974999999999994,44.025,3.5431120285981463,0.49616627395153046,0.4694511623543077,0.10500000000000001
Mixed_Channel,qpsk,-27.499999999999964,56.65,43.35,3.1640405208793028,0.5398552380502224,0.5116970427307288,0.1
Mixed_Channel,qpsk,-27.399999999999963,56.699999999999996,43.3,2.962575438161376,0.5285142920911312,0.5280464977702259,0.10500000000000001
Mixed_Channel,qpsk,-27.29999999999996,56.175,43.824999999999996,3.379275014255118,0.49050622433423996,0.4884198668583689,0.10500000000000001
Mixed_Channel,qpsk,-27.19999999999996,56.025000000000006,43.974999999999994,3.221823927655065,0.5350544452667236,0.47696908505180285,0.10500000000000001
Mixed_Channel,qpsk,-27.09999999999996,56.925000000000004,43.075,2.9911264479029427,0.5102639123797417,0.5504558648112857,0.1
Mixed_Channel,qpsk,-26.999999999999957,56.875,43.125,2.8623482572115386,0.49462962709367275,0.43582382751972676,0.1
Mixed_Channel,qpsk,-26.899999999999956,55.574999999999996,44.425,3.1829036106893835,0.5339159853756428,0.510814937109925,0.10500000000000001
Mixed_Channel,qpsk,-26.799999999999955,56.974999999999994,43.025000000000006,3.1499741183084686,0.5437462702393532,0.5041078274767123,0.10500000000000001
Mixed_Channel,qpsk,-26.699999999999953,57.35,42.65,2.73445843777245,0.6577821671962738,0.38343625636152967,0.1
Mixed_Channel,qpsk,-26.59999999999995,58.099999999999994,41.9,2.5312504202076163,0.5475685074925423,0.4652431155627256,0.1
Mixed_Channel,qpsk,-26.49999999999995,57.224999999999994,42.775,2.6025840722613585,0.5647735893726349,0.5352150791565736,0.10500000000000001
Mixed_Channel,qpsk,-26.39999999999995,57.550000000000004,42.449999999999996,2.8582779580256297,0.622718334197998,0.5348596840550424,0.10500000000000001
Mixed_Channel,qpsk,-26.299999999999947,57.15,42.85,2.6156192756178913,0.5962816178798676,0.4639529340843222,0.10500000000000001
Mixed_Channel,qpsk,-26.199999999999946,56.325,43.675000000000004,2.4137768565523747,0.454473152756691,0.46840649056362377,0.1
Mixed_Channel,qpsk,-26.099999999999945,57.074999999999996,42.925000000000004,2.649023950804862,0.5668322220444679,0.4891224041303562,0.1
