Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Base_AWGN,qpsk,-30.0,97.3,2.7,0.6488614214655062,0.8686635494232178,0.5521573406757342,0.5
Base_AWGN,qpsk,-29.9,99.55000000000001,0.44999999999999996,0.5704523505187405,0.7672011256217957,0.42039046814435443,0.27
Base_AWGN,qpsk,-29.799999999999997,98.1,1.9,0.608441616295553,0.6597032696008682,0.27370335199564655,0.1386
Base_AWGN,qpsk,-29.699999999999996,99.825,0.17500000000000002,0.5595089257763586,0.6622640490531921,0.25166093178224,0.1
Base_AWGN,qpsk,-29.599999999999994,100.0,0.0,0.5074741516113281,0.6602816581726074,0.2470518378371279,0.1
Base_AWGN,qpsk,-29.499999999999993,96.52499999999999,3.4750000000000005,0.6849062666933761,0.5589570589363575,0.3316500502687775,0.1
Base_AWGN,qpsk,-29.39999999999999,99.52499999999999,0.475,0.5876624292537993,0.6437638401985168,0.25901467065644657,0.1
Base_AWGN,qpsk,-29.29999999999999,99.8,0.2,0.5626429250101767,0.6861627846956253,0.30167045634613565,0.1
Base_AWGN,qpsk,-29.19999999999999,96.89999999999999,3.1,0.6786083304107005,0.6518070697784424,0.28755498291125464,0.1
Base_AWGN,qpsk,-29.099999999999987,98.875,1.125,0.6074269985579962,0.6491650938987732,0.25627450768927534,0.1
Base_AWGN,qpsk,-28.999999999999986,100.0,0.0,0.5058694458007813,0.6299298703670502,0.20644352458864365,0.1
Base_AWGN,qpsk,-28.899999999999984,98.97500000000001,1.0250000000000001,0.572041896233266,0.6046609058976173,0.30503991764790117,0.1
Base_AWGN,qpsk,-28.799999999999983,98.75,1.25,0.602826406744462,0.7369105219841003,0.26279690985600684,0.1
Base_AWGN,qpsk,-28.69999999999998,99.875,0.125,0.5460306828848561,0.6277840882539749,0.2301572661345228,0.1
Base_AWGN,qpsk,-28.59999999999998,98.65,1.35,0.6036133802426508,0.6116168200969696,0.27683739290932236,0.1
Base_AWGN,qpsk,-28.49999999999998,98.2,1.7999999999999998,0.6249136060415605,0.5948863551020622,0.27702954763313503,0.1
Base_AWGN,qpsk,-28.399999999999977,96.025,3.975,0.6966547967244858,0.6634862273931503,0.25027755040675576,0.1
Base_AWGN,qpsk,-28.299999999999976,98.95,1.05,0.5944693451159045,0.5894396156072617,0.24684247819551802,0.1
Base_AWGN,qpsk,-28.199999999999974,99.625,0.375,0.5665265742628607,0.5796804204583168,0.2045390150225787,0.1
Base_AWGN,qpsk,-28.099999999999973,99.15,0.8500000000000001,0.5974102010645171,0.6607426553964615,0.21504572587148102,0.1
Base_AWGN,qpsk,-27.99999999999997,100.0,0.0,0.509122314453125,0.6032167002558708,0.19267168110116192,0.1
Base_AWGN,qpsk,-27.89999999999997,100.0,0.0,0.5180726318359375,0.6178054884076118,0.22510644164219681,0.1
Base_AWGN,qpsk,-27.79999999999997,99.45,0.5499999999999999,0.5787847565909376,0.575623594224453,0.2157700793291103,0.1
Base_AWGN,qpsk,-27.699999999999967,96.575,3.4250000000000003,0.6565323764723013,0.7155856043100357,0.2774546595899915,0.1
Base_AWGN,qpsk,-27.599999999999966,100.0,0.0,0.5145590209960937,0.6856848150491714,0.21304519678955106,0.1
Base_AWGN,qpsk,-27.499999999999964,100.0,0.0,0.525927978515625,0.6575347781181335,0.25784196077358706,0.1
Base_AWGN,qpsk,-27.399999999999963,100.0,0.0,0.5244688720703125,0.6397669762372971,0.21681183010366595,0.1
Base_AWGN,qpsk,-27.29999999999996,99.95,0.05,0.5517621481639257,0.6614869236946106,0.22738598736330295,0.1
Base_AWGN,qpsk,-27.19999999999996,100.0,0.0,0.5183819580078125,0.6965354681015015,0.2559966451577975,0.1
Base_AWGN,qpsk,-27.09999999999996,99.7,0.3,0.562748058629012,0.7193378359079361,0.2942204164033572,0.1
Base_AWGN,qpsk,-26.999999999999957,100.0,0.0,0.5195308837890625,0.5901136100292206,0.19915304535611883,0.1
Base_AWGN,qpsk,-26.899999999999956,100.0,0.0,0.5017244262695313,0.6136050820350647,0.2219412153660988,0.1
Base_AWGN,qpsk,-26.799999999999955,99.65,0.35000000000000003,0.5592508349535875,0.7032717019319534,0.2462160233283288,0.1
Base_AWGN,qpsk,-26.699999999999953,100.0,0.0,0.5314365844726563,0.6619357764720917,0.17328952731757274,0.1
Base_AWGN,qpsk,-26.59999999999995,100.0,0.0,0.51692529296875,0.600703164935112,0.19403233059757527,0.1
Base_AWGN,qpsk,-26.49999999999995,99.925,0.075,0.5502868606533025,0.6284631788730621,0.20487036776538936,0.1
Base_AWGN,qpsk,-26.39999999999995,99.75,0.25,0.5734832687186717,0.5884384363889694,0.24251270578385306,0.1
Base_AWGN,qpsk,-26.299999999999947,100.0,0.0,0.5239952392578126,0.6830660402774811,0.23930286166706286,0.1
Base_AWGN,qpsk,-26.199999999999946,100.0,0.0,0.5313260498046875,0.6470648944377899,0.20548561578771854,0.1
Base_AWGN,qpsk,-26.099999999999945,100.0,0.0,0.5141754760742188,0.6233484447002411,0.2277542607359041,0.1
Base_AWGN,qpsk,-25.999999999999943,100.0,0.0,0.5091690673828125,0.6546567678451538,0.2524506247092311,0.1
Base_AWGN,qpsk,-25.89999999999994,99.95,0.05,0.5529477385176963,0.6112397387623787,0.17989306018346868,0.1
Base_AWGN,qpsk,-25.79999999999994,100.0,0.0,0.5257536010742188,0.6628222316503525,0.21998389673679114,0.1
Base_AWGN,qpsk,-25.69999999999994,100.0,0.0,0.5008595275878907,0.6201766654849052,0.22155353557451643,0.1
