RIS Elements,Average Semantic Accuracy (%),Accuracy 95% CI,Average Cosine Similarity,Cosine 95% CI
64,99.97591666666668,0.02587117850828212,0.855365113715331,0.002471967827274536
128,99.93308333333334,0.057702078276326625,0.8535513306657472,0.0030179691002101094
256,99.91008333333333,0.07273359448216737,0.8536103207866348,0.003846610338634819
