Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Base_AWGN,qam16,-30.0,71.75,28.249999999999996,0.40548014890026135,0.7919763624668121,0.4880405008176339,0.5
Base_AWGN,qam16,-29.9,68.15,31.85,0.5078731321361427,0.776397705078125,0.4645238267646644,0.33
Base_AWGN,qam16,-29.799999999999997,70.975,29.025000000000002,0.44740786120773157,0.5868945270776749,0.5086163447904742,0.21659999999999996
Base_AWGN,qam16,-29.699999999999996,70.275,29.725,0.4359806132715226,0.6422684043645859,0.5228229481015613,0.15995999999999996
Base_AWGN,qam16,-29.599999999999994,68.425,31.574999999999996,0.5316719609888793,0.572273887693882,0.42620796248281206,0.12597599999999998
Base_AWGN,qam16,-29.499999999999993,73.42500000000001,26.575,0.36788617277940927,0.4262881502509117,0.49581794552479563,0.10558559999999997
Base_AWGN,qam16,-29.39999999999999,69.375,30.625000000000004,0.5024895305461712,0.6674474328756332,0.5511704296297143,0.1
Base_AWGN,qam16,-29.29999999999999,72.275,27.725,0.3915982690083449,0.5266726985573769,0.4590614053049371,0.1
Base_AWGN,qam16,-29.19999999999999,71.475,28.525,0.4577501369715154,0.48393142595887184,0.4687249560475682,0.1
Base_AWGN,qam16,-29.099999999999987,70.875,29.125,0.38475279362323633,0.5248309634625912,0.4941556834285545,0.1
Base_AWGN,qam16,-28.999999999999986,68.72500000000001,31.275,0.5139790712247635,0.6037912964820862,0.49862003602999155,0.1
Base_AWGN,qam16,-28.899999999999984,74.325,25.674999999999997,0.359159970660423,0.5712437629699707,0.5572605503321214,0.1
Base_AWGN,qam16,-28.799999999999983,68.0,32.0,0.5445616778205423,0.5592250786721706,0.4649351425656805,0.1
Base_AWGN,qam16,-28.69999999999998,70.7,29.299999999999997,0.4525833669443953,0.5703424662351608,0.4554459662363993,0.1
Base_AWGN,qam16,-28.59999999999998,68.75,31.25,0.5169331498579546,0.5967588573694229,0.48561498564022154,0.1
Base_AWGN,qam16,-28.49999999999998,74.52499999999999,25.474999999999998,0.3376085242342125,0.6364644020795822,0.48263165216639664,0.1
Base_AWGN,qam16,-28.399999999999977,70.825,29.175,0.43547181446898164,0.5532394386827946,0.5068862537531567,0.1
Base_AWGN,qam16,-28.299999999999976,72.05,27.950000000000003,0.3851056598607738,0.5634323582053185,0.49095029441573507,0.1
Base_AWGN,qam16,-28.199999999999974,69.77499999999999,30.225,0.5118204825499373,0.5491933301091194,0.5151190580446415,0.1
Base_AWGN,qam16,-28.099999999999973,68.5,31.5,0.5294867522525091,0.6422042995691299,0.44275196270997164,0.1
Base_AWGN,qam16,-27.99999999999997,72.15,27.85,0.3996368006377772,0.5556184872984886,0.5285500452874855,0.1
Base_AWGN,qam16,-27.89999999999997,73.625,26.375,0.3470131943707555,0.5910981371998787,0.4022007472748059,0.1
Base_AWGN,qam16,-27.79999999999997,72.95,27.05,0.39315500971877143,0.5951945707201958,0.4356180525732585,0.1
Base_AWGN,qam16,-27.699999999999967,68.125,31.874999999999996,0.49319963087729357,0.5809696093201637,0.484284237525973,0.1
Base_AWGN,qam16,-27.599999999999966,68.85,31.15,0.5057080503642429,0.5958398431539536,0.4957370885187233,0.1
Base_AWGN,qam16,-27.499999999999964,74.675,25.324999999999996,0.3553359316151239,0.5307373143732548,0.452400113929297,0.1
Base_AWGN,qam16,-27.399999999999963,71.025,28.975,0.41449917743257214,0.6620865017175674,0.35972898578007945,0.1
Base_AWGN,qam16,-27.29999999999996,73.775,26.224999999999998,0.3801631067858353,0.6779143214225769,0.3651530143065921,0.1
Base_AWGN,qam16,-27.19999999999996,72.875,27.125,0.36871448863636364,0.6078841537237167,0.43154018793882576,0.1
Base_AWGN,qam16,-27.09999999999996,70.125,29.875,0.4536490972454323,0.607418566942215,0.5009467475607069,0.1
Base_AWGN,qam16,-26.999999999999957,74.725,25.275,0.3566476331183088,0.534199595451355,0.44676911321047785,0.1
Base_AWGN,qam16,-26.899999999999956,72.275,27.725,0.39230712975073506,0.5196994058787823,0.45401699403917534,0.1
Base_AWGN,qam16,-26.799999999999955,68.95,31.05,0.4852985384846356,0.6717463135719299,0.46700824558695614,0.1
Base_AWGN,qam16,-26.699999999999953,74.95,25.05,0.3545053798886758,0.6574600785970688,0.512403109839358,0.1
Base_AWGN,qam16,-26.59999999999995,70.19999999999999,29.799999999999997,0.4218931714354078,0.5756216049194336,0.4700145578685049,0.1
