Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Imperfect_RIS,qpsk,-28.099999999999973,100.0,0.0,0.5085175563220699,0.6697692275047302,0.24615227456056413,0.1
Imperfect_RIS,qpsk,-27.99999999999997,99.97500000000001,0.025,0.5107428665710348,0.7520517110824585,0.24629433227801886,0.1
Imperfect_RIS,qpsk,-27.89999999999997,99.35000000000001,0.65,0.5791751598573951,0.7127922475337982,0.25184930753522317,0.1
Imperfect_RIS,qpsk,-27.79999999999997,95.7,4.3,0.6632915002316896,0.6177338659763336,0.31080635886064073,0.1
Imperfect_RIS,qpsk,-27.699999999999967,98.425,1.575,0.605585250241914,0.7121659517288208,0.2530221531386828,0.1
Imperfect_RIS,qpsk,-27.599999999999966,100.0,0.0,0.525028298205897,0.5787330567836761,0.2164294922697146,0.1
Imperfect_RIS,qpsk,-27.499999999999964,99.97500000000001,0.025,0.5079022092417413,0.6190078407526016,0.20722167161708105,0.1
Imperfect_RIS,qpsk,-27.399999999999963,98.3,1.7000000000000002,0.6087367076006547,0.700420469045639,0.24908568328824823,0.1
Imperfect_RIS,qpsk,-27.29999999999996,99.95,0.05,0.5449062397402203,0.606076180934906,0.21584740224950363,0.1
Imperfect_RIS,qpsk,-27.19999999999996,100.0,0.0,0.5190252567023338,0.6154666095972061,0.1916421884286846,0.1
Imperfect_RIS,qpsk,-27.09999999999996,97.975,2.025,0.6080174091534435,0.666999489068985,0.27801644641036505,0.1
Imperfect_RIS,qpsk,-26.999999999999957,99.725,0.27499999999999997,0.54288913065481,0.640499010682106,0.23766596754717004,0.1
Imperfect_RIS,qpsk,-26.899999999999956,100.0,0.0,0.5103450002049867,0.5632397830486298,0.14664694651084917,0.1
Imperfect_RIS,qpsk,-26.799999999999955,100.0,0.0,0.5031529272934745,0.6311045438051224,0.22957586653272702,0.1
Imperfect_RIS,qpsk,-26.699999999999953,99.875,0.125,0.532032602468936,0.6534778326749802,0.30650603967141793,0.1
Imperfect_RIS,qpsk,-26.59999999999995,95.8,4.2,0.6733736844124174,0.6321970075368881,0.3274896261086,0.1
Imperfect_RIS,qpsk,-26.49999999999995,98.8,1.2,0.5911599862709599,0.648524820804596,0.2866176785528531,0.1
Imperfect_RIS,qpsk,-26.39999999999995,100.0,0.0,0.5096042703011173,0.6921408623456955,0.27151518156093274,0.1
