Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Imperfect_RIS,qam16,-30.0,69.30000000000001,30.7,0.4757352244927396,0.8240225315093994,0.4530630011790407,0.5
Imperfect_RIS,qam16,-29.9,69.5,30.5,0.4655400096625523,0.5633983463048935,0.43672222690861034,0.33
Imperfect_RIS,qam16,-29.799999999999997,66.35,33.650000000000006,0.6075833913422413,0.7885115146636963,0.5075409802241244,0.22799999999999998
Imperfect_RIS,qam16,-29.699999999999996,72.175,27.825,0.39179976111544146,0.6010017693042755,0.5342369904287492,0.15845999999999996
Imperfect_RIS,qam16,-29.599999999999994,70.32499999999999,29.675,0.4544524617230312,0.6630758047103882,0.4923744575467301,0.125076
Imperfect_RIS,qam16,-29.499999999999993,69.575,30.425,0.4856651269679609,0.5730307921767235,0.4895498999273477,0.1050456
Imperfect_RIS,qam16,-29.39999999999999,72.7,27.3,0.3602306536470189,0.5963580757379532,0.5457252133680939,0.1
Imperfect_RIS,qam16,-29.29999999999999,71.30000000000001,28.7,0.42130455778306575,0.6080893725156784,0.5278928154439919,0.1
Imperfect_RIS,qam16,-29.19999999999999,68.9,31.1,0.4757447204270586,0.5834913775324821,0.5128778778827037,0.1
Imperfect_RIS,qam16,-29.099999999999987,71.65,28.349999999999998,0.40867086903748884,0.5483056120574474,0.3860954171284037,0.1
Imperfect_RIS,qam16,-28.999999999999986,70.275,29.725,0.4390044779989624,0.5118863638490438,0.5092478992012827,0.1
Imperfect_RIS,qam16,-28.899999999999984,68.0,32.0,0.5476697796445047,0.672534629702568,0.5083259617689672,0.1
Imperfect_RIS,qam16,-28.799999999999983,70.30000000000001,29.7,0.42684516667302086,0.5232696011662483,0.5175900895222376,0.1
Imperfect_RIS,qam16,-28.69999999999998,68.95,31.05,0.4622945976463641,0.5854918956756592,0.5184779776994972,0.1
Imperfect_RIS,qam16,-28.59999999999998,73.95,26.05,0.3483633958050055,0.47746727988123894,0.4772850669431064,0.1
Imperfect_RIS,qam16,-28.49999999999998,74.325,25.674999999999997,0.3422766522372294,0.6070443987846375,0.5049201573147135,0.1
