Test Case,Modulation,Adaptive,Average Semantic Accuracy (%),Average BER (%),Average Cosine Similarity,Average Mutual Information
Base_AWGN,qpsk,Yes,99.94716666666666,0.052833333333333336,0.6489593179710209,0.23497971885288904
Imperfect_RIS,qpsk,Yes,99.929375,0.070625,0.6485834914197525,0.2353821070542589
Doppler_AWGN,qpsk,Yes,99.91570833333333,0.08429166666666665,0.6499889999069274,0.23659852711877952
Mixed_Channel,qpsk,Yes,64.66608333333333,35.33391666666667,0.5568866854715937,0.4817693659524042
Base_AWGN,qam16,Yes,74.6735,25.326500000000003,0.6897282607325663,0.4850446517972415
Imperfect_RIS,qam16,Yes,74.16554166666667,25.834458333333338,0.6899961775448173,0.48698451443028384
Doppler_AWGN,qam16,Yes,74.40970833333334,25.590291666666666,0.6057833729777485,0.46969358767273756
Mixed_Channel,qam16,Yes,56.812625,43.187375,0.5571212480100803,0.49018653234661985
